Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
1333,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10103365033864975,0.6695581674575806,0.2560814619064331
1403,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1403,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10117726027965546,0.668945848941803,0.2557200491428375
1487,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1487,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.1011427715420723,0.6682809591293335,0.25525012612342834
1570,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1570,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10113542526960373,0.6672458052635193,0.2546708881855011
1654,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1654,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10093887895345688,0.6651636958122253,0.25374558568000793
1738,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1738,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10050874203443527,0.6633927822113037,0.2530447542667389
1821,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1821,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10039284825325012,0.6625703573226929,0.25272542238235474
1905,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1905,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10034499317407608,0.6620240211486816,0.25249820947647095
1988,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
1988,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10046751797199249,0.6619752049446106,0.25217828154563904
2072,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
