Value.ElapsedTime,Value.PourHeight,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Score,Value.TimeTask
,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-04 12:43:10 PM,,,c19ab211-f266-47ba-bcc8-6af73d0a3f7c,ApplicationStart,,,,,
0,1.340000033378601,,2022-10-04 12:57:17 PM,,false,c19ab211-f266-47ba-bcc8-6af73d0a3f7c,EverydayTaskConfig,,,,,
0,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16503986716270447,-0.22419394552707672,0.10894055664539337,,
0,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.025376418605446815,-0.3103451728820801,0.20672808587551117,,
77,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16361992061138153,-0.2242743819952011,0.10895968973636627,,
77,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.020370369777083397,-0.30857208371162415,0.20961716771125793,,
152,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16344861686229706,-0.22392861545085907,0.10864414274692535,,
152,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.018930509686470032,-0.3085850477218628,0.21097280085086823,,
238,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16400250792503357,-0.2232559621334076,0.10815834254026413,,
238,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.017231043428182602,-0.30617818236351013,0.2113601416349411,,
321,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16430625319480896,-0.22288864850997925,0.10798138380050659,,
321,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.01621188595890999,-0.3013589382171631,0.2099890559911728,,
406,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.1641668975353241,-0.2226291447877884,0.10791431367397308,,
406,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.013498257845640182,-0.28818705677986145,0.20517681539058685,,
489,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16459305584430695,-0.22260956466197968,0.1077367290854454,,
489,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,-0.0020060399547219276,-0.2681398093700409,0.2008509337902069,,
573,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16488352417945862,-0.2232610285282135,0.10799688845872879,,
573,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,0.019075781106948853,-0.2485894411802292,0.19881688058376312,,
656,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16406258940696716,-0.22376452386379242,0.10826881974935532,,
656,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,0.03721155226230621,-0.23317211866378784,0.1946018785238266,,
739,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.16243571043014526,-0.2240322083234787,0.1086711511015892,,
739,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,0.044662974774837494,-0.22160260379314423,0.1872435063123703,,
823,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,LeftControllerPosition,-0.1610833704471588,-0.2242620289325714,0.10898856073617935,,
823,,,2022-10-04 12:57:17 PM,EverydayTaskData,,,RightControllerPosition,0.040566664189100266,-0.21520304679870605,0.17882664501667023,,
907,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.1605667769908905,-0.22382719814777374,0.1086714118719101,,
907,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.027380390092730522,-0.21413549780845642,0.17036719620227814,,
979,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.16110828518867493,-0.22275486588478088,0.10723333060741425,,
979,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.01767118088901043,-0.21452826261520386,0.16355732083320618,,
1074,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.1630391776561737,-0.22170990705490112,0.10609908401966095,,
1074,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.01046628039330244,-0.21524646878242493,0.15901155769824982,,
1146,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.163913294672966,-0.22167064249515533,0.10627130419015884,,
1146,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.010894994251430035,-0.2156885415315628,0.159832164645195,,
1241,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.163296177983284,-0.22138211131095886,0.10640919953584671,,
1241,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.008775775320827961,-0.21773384511470795,0.16078035533428192,,
1313,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.16145965456962585,-0.22032031416893005,0.10636090487241745,,
1313,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.005813630297780037,-0.21940016746520996,0.1610664576292038,,
1396,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.15858109295368195,-0.2167055308818817,0.1049843430519104,,
1396,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.004019468557089567,-0.21906840801239014,0.16001363098621368,,
1480,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.1581462323665619,-0.21090838313102722,0.09863339364528656,,
1480,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.0036508706398308277,-0.21371608972549438,0.1544768065214157,,
1562,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.15986798703670502,-0.20968808233737946,0.09717613458633423,,
1562,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.006356546655297279,-0.21177656948566437,0.15391430258750916,,
1647,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.16156169772148132,-0.20892323553562164,0.09725826978683472,,
1647,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.008587514981627464,-0.21112985908985138,0.15549679100513458,,
1731,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.16247165203094482,-0.2085176557302475,0.09768479317426682,,
1731,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.01166191790252924,-0.2091130018234253,0.15580624341964722,,
1813,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,LeftControllerPosition,-0.16236738860607147,-0.20825371146202087,0.09801279008388519,,
1813,,,2022-10-04 12:57:18 PM,EverydayTaskData,,,RightControllerPosition,0.01348886825144291,-0.20767761766910553,0.15551277995109558,,
1896,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.161210298538208,-0.20827408134937286,0.0986102968454361,,
1896,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.016367346048355103,-0.20619334280490875,0.1553228795528412,,
1980,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15960165858268738,-0.20868870615959167,0.09975122660398483,,
1980,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.017289433628320694,-0.20663714408874512,0.15626108646392822,,
2063,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15743474662303925,-0.21160486340522766,0.1050584688782692,,
2063,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.018158821389079094,-0.208071768283844,0.15843817591667175,,
2146,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15604588389396667,-0.2151818722486496,0.10962710529565811,,
2146,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.019875917583703995,-0.20832665264606476,0.15897715091705322,,
2230,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15484929084777832,-0.21608243882656097,0.11099382489919662,,
2230,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.021438391879200935,-0.20525658130645752,0.15604564547538757,,
2313,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15402038395404816,-0.21855302155017853,0.11443092674016953,,
2313,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.021305739879608154,-0.20267906785011292,0.1524215191602707,,
2396,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15370310842990875,-0.2201981395483017,0.11664913594722748,,
2396,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.01952524110674858,-0.20190832018852234,0.15021121501922607,,
2480,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.1531418114900589,-0.22046925127506256,0.11703328788280487,,
2480,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.017817934975028038,-0.20338082313537598,0.15091921389102936,,
2564,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15254898369312286,-0.22016483545303345,0.11705544590950012,,
2564,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.01691550761461258,-0.2053823322057724,0.15324163436889648,,
2647,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15248599648475647,-0.21980895102024078,0.11703835427761078,,
2647,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.019399767741560936,-0.20542272925376892,0.1547250598669052,,
2730,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.15232647955417633,-0.2195775806903839,0.11702454835176468,,
2730,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.019773300737142563,-0.2058834433555603,0.15568873286247253,,
2815,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,LeftControllerPosition,-0.1514102816581726,-0.21940062940120697,0.11682817339897156,,
2815,,,2022-10-04 12:57:19 PM,EverydayTaskData,,,RightControllerPosition,0.01919286884367466,-0.20654064416885376,0.15641245245933533,,
2897,,,2022-10-04 12:57:20 PM,EverydayTaskData,,,LeftControllerPosition,-0.1505582630634308,-0.21899178624153137,0.11642924696207047,,
2897,,,2022-10-04 12:57:20 PM,EverydayTaskData,,,RightControllerPosition,0.017843954265117645,-0.20757196843624115,0.15657268464565277,,
2971,,,2022-10-04 12:57:20 PM,EverydayTaskData,,,LeftControllerPosition,-0.15032067894935608,-0.21891580522060394,0.11637260764837265,,
2971,,,2022-10-04 12:57:20 PM,EverydayTaskData,,,RightControllerPosition,0.016957800835371017,-0.2076367437839508,0.15630802512168884,,
3064,,,2022-10-04 12:57:20 PM,EverydayTaskData,,,LeftControllerPosition,-0.1503787785768509,-0.21906758844852448,0.11646676063537598,,
