Value.CombinedEyesConvergenceDistance,Value.CombinedEyesConvergenceDistanceValidity,Value.CombinedEyesGazeDirectionNormalized_x,Value.CombinedEyesGazeDirectionNormalized_y,Value.CombinedEyesGazeDirectionNormalized_z,Value.CombinedEyesGazeOrigin_x,Value.CombinedEyesGazeOrigin_y,Value.CombinedEyesGazeOrigin_z,Value.CombinedEyesOpenness,Value.CombinedEyesPupilDiameter,Value.CombinedEyesPupilPositionInSensorArea_x,Value.CombinedEyesPupilPositionInSensorArea_y,Value.ElapsedTime,Value.LeftEyeGazeDirectionNormalized_x,Value.LeftEyeGazeDirectionNormalized_y,Value.LeftEyeGazeDirectionNormalized_z,Value.LeftEyeGazeOrigin_x,Value.LeftEyeGazeOrigin_y,Value.LeftEyeGazeOrigin_z,Value.LeftEyeOpenness,Value.LeftEyePupilDiameter,Value.LeftEyePupilPositionInSensorArea_x,Value.LeftEyePupilPositionInSensorArea_y,Value.Repetitions,Value.RightEyeGazeDirectionNormalized_x,Value.RightEyeGazeDirectionNormalized_y,Value.RightEyeGazeDirectionNormalized_z,Value.RightEyeGazeOrigin_x,Value.RightEyeGazeOrigin_y,Value.RightEyeGazeOrigin_z,Value.RightEyeOpenness,Value.RightEyePupilDiameter,Value.RightEyePupilPositionInSensorArea_x,Value.RightEyePupilPositionInSensorArea_y,Value.Scenario,Value.TargetSize,Value.TargetSpeed,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""EyeTrackingFollowScene"",""EyeTrackingFollowScene"",""EyeTrackingFollowScene"",""EyeTrackingFixationScene"",""EyeTrackingFixationScene"",""EyeTrackingFixationScene"",""EyeTrackingFixationScene"",""EyeTrackingMultipleScene"",""EyeTrackingMultipleScene"",""EyeTrackingMultipleScene""]",,,2022-10-04 1:11:30 PM,,,55380744-8591-478d-a11d-f67808900e15,ApplicationStart
,,,,,,,,,,,,0,,,,,,,,,,,10,,,,,,,,,,,,1,1,2022-10-04 1:11:46 PM,,false,55380744-8591-478d-a11d-f67808900e15,EyeTrackingFollowConfig
0,false,0.0937347412109375,-0.0977783203125,0.9907684326171875,-9.886215209960938,-4.32391357421875,-25.744277954101562,0,0,0,0,1,0.0827178955078125,-0.0838165283203125,0.9930267333984375,33.473876953125,-2.87255859375,-28.16400146484375,1,2.5988616943359375,0.4316391050815582,0.6638807058334351,,0.098236083984375,-0.103485107421875,0.9897613525390625,-27.631317138671875,-4.917877197265625,-24.753997802734375,1,2.722259521484375,0.4424130916595459,0.7011639475822449,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.096099853515625,-0.101318359375,0.9901885986328125,-18.634201049804688,-4.61053466796875,-25.26226806640625,0,0,0,0,3,0.083953857421875,-0.0874786376953125,0.99261474609375,33.4737548828125,-2.840179443359375,-28.204254150390625,1,2.566070556640625,0.4314519464969635,0.6637517809867859,,0.0981903076171875,-0.10369873046875,0.98974609375,-27.631332397460938,-4.9162139892578125,-24.754302978515625,1,2.7261199951171875,0.44242411851882935,0.7011513710021973,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.096099853515625,-0.101318359375,0.9901885986328125,-18.634201049804688,-4.61053466796875,-25.26226806640625,0,0,0,0,14,0.083953857421875,-0.0874786376953125,0.99261474609375,33.4737548828125,-2.840179443359375,-28.204254150390625,1,2.566070556640625,0.4314519464969635,0.6637517809867859,,0.0981903076171875,-0.10369873046875,0.98974609375,-27.631332397460938,-4.9162139892578125,-24.754302978515625,1,2.7261199951171875,0.44242411851882935,0.7011513710021973,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.096099853515625,-0.101318359375,0.9901885986328125,-18.634201049804688,-4.61053466796875,-25.26226806640625,0,0,0,0,19,0.083953857421875,-0.0874786376953125,0.99261474609375,33.4737548828125,-2.840179443359375,-28.204254150390625,1,2.566070556640625,0.4314519464969635,0.6637517809867859,,0.0981903076171875,-0.10369873046875,0.98974609375,-27.631332397460938,-4.9162139892578125,-24.754302978515625,1,2.7261199951171875,0.44242411851882935,0.7011513710021973,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.097625732421875,-0.1010589599609375,0.9900665283203125,-24.964553833007812,-4.8214569091796875,-24.95013427734375,0,0,0,0,25,0.0813751220703125,-0.091949462890625,0.992431640625,33.47486877441406,-2.7993927001953125,-28.253494262695312,1,2.5914154052734375,0.4317667484283447,0.6636101007461548,,0.0983734130859375,-0.101470947265625,0.989959716796875,-27.634017944335938,-4.913818359375,-24.799240112304688,1,2.7256927490234375,0.4424624741077423,0.7011513710021973,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.09716796875,-0.106536865234375,0.989532470703125,-25.836456298828125,-4.7327117919921875,-24.957962036132812,0,0,0,0,36,0.0789794921875,-0.0975799560546875,0.9920806884765625,33.4805908203125,-2.712158203125,-28.389068603515625,1,2.6154937744140625,0.4318619668483734,0.6629764437675476,,0.09771728515625,-0.1068115234375,0.9894561767578125,-27.64312744140625,-4.79425048828125,-24.85345458984375,1,2.63916015625,0.4427470266819,0.6985749006271362,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.0942840576171875,-0.1015625,0.9903411865234375,-24.181015014648438,-4.6333770751953125,-25.040756225585938,0,0,0,0,47,0.0817108154296875,-0.10467529296875,0.9911346435546875,33.47430419921875,-2.6419677734375,-28.477279663085938,1,2.54119873046875,0.4316675662994385,0.6625526547431946,,0.0950469970703125,-0.1013641357421875,0.99029541015625,-27.641006469726562,-4.7528839111328125,-24.834518432617188,1,2.5727996826171875,0.4430513083934784,0.696004331111908,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
0,false,0.0942840576171875,-0.1015625,0.9903411865234375,-24.181015014648438,-4.6333770751953125,-25.040756225585938,0,0,0,0,52,0.0817108154296875,-0.10467529296875,0.9911346435546875,33.47430419921875,-2.6419677734375,-28.477279663085938,1,2.54119873046875,0.4316675662994385,0.6625526547431946,,0.0950469970703125,-0.1013641357421875,0.99029541015625,-27.641006469726562,-4.7528839111328125,-24.834518432617188,1,2.5727996826171875,0.4430513083934784,0.696004331111908,,,,2022-10-04 1:11:46 PM,EyeTrackingFollowData,,,EyeData
