_id,Value.Time,Value.ElapsedTime,Value.Type,Value.PatientID,Value.TrialID,Value.Mode,Value.ToolEnded,Value.Repetitions,Value.ToolData,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
6504649288f911d6b5fc68d1,9/15/2023 10:05,1583,RightControllerPosition,,,,,,FingerFollowData,-0.021955412,0.950537443,0.330728412,,,,
6504649288f911d6b5fc68d3,9/15/2023 10:05,1666,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649288f911d6b5fc68d5,9/15/2023 10:05,1666,RightControllerPosition,,,,,,FingerFollowData,-0.033878736,0.986099899,0.337245673,,,,
6504649288f911d6b5fc68d7,9/15/2023 10:05,1750,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649288f911d6b5fc68d9,9/15/2023 10:05,1750,RightControllerPosition,,,,,,FingerFollowData,-0.044226471,1.016410708,0.342240661,,,,
6504649288f911d6b5fc68db,9/15/2023 10:05,1834,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649288f911d6b5fc68dd,9/15/2023 10:05,1834,RightControllerPosition,,,,,,FingerFollowData,-0.055386748,1.042485118,0.345843166,,,,
6504649388f911d6b5fc68df,9/15/2023 10:05,1917,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68e1,9/15/2023 10:05,1917,RightControllerPosition,,,,,,FingerFollowData,-0.062726378,1.064467311,0.346740246,,,,
6504649388f911d6b5fc68e3,9/15/2023 10:05,2000,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68e5,9/15/2023 10:05,2000,RightControllerPosition,,,,,,FingerFollowData,-0.068488613,1.082686067,0.343257487,,,,
6504649388f911d6b5fc68e7,9/15/2023 10:05,2084,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68e9,9/15/2023 10:05,2084,RightControllerPosition,,,,,,FingerFollowData,-0.07206168,1.095582366,0.33995077,,,,
6504649388f911d6b5fc68eb,9/15/2023 10:05,2168,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68ed,9/15/2023 10:05,2168,RightControllerPosition,,,,,,FingerFollowData,-0.076094918,1.103802443,0.339366376,,,,
6504649388f911d6b5fc68ef,9/15/2023 10:05,2251,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68f1,9/15/2023 10:05,2251,RightControllerPosition,,,,,,FingerFollowData,-0.080148779,1.113977909,0.338522315,,,,
6504649388f911d6b5fc68f3,9/15/2023 10:05,2335,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68f5,9/15/2023 10:05,2335,RightControllerPosition,,,,,,FingerFollowData,-0.084704973,1.123351932,0.340364873,,,,
6504649388f911d6b5fc68f7,9/15/2023 10:05,2418,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68f9,9/15/2023 10:05,2418,RightControllerPosition,,,,,,FingerFollowData,-0.09165813,1.135977268,0.348161995,,,,
6504649388f911d6b5fc68fb,9/15/2023 10:05,2502,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc68fd,9/15/2023 10:05,2502,RightControllerPosition,,,,,,FingerFollowData,-0.100226611,1.151859403,0.362629354,,,,
6504649388f911d6b5fc68ff,9/15/2023 10:05,2585,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc6901,9/15/2023 10:05,2585,RightControllerPosition,,,,,,FingerFollowData,-0.111554913,1.16708827,0.38239786,,,,
6504649388f911d6b5fc6903,9/15/2023 10:05,2669,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc6905,9/15/2023 10:05,2669,RightControllerPosition,,,,,,FingerFollowData,-0.123347536,1.180146098,0.404194653,,,,
6504649388f911d6b5fc6907,9/15/2023 10:05,2739,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc6909,9/15/2023 10:05,2739,RightControllerPosition,,,,,,FingerFollowData,-0.130768567,1.185199738,0.42247954,,,,
6504649388f911d6b5fc690b,9/15/2023 10:05,2823,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649388f911d6b5fc690d,9/15/2023 10:05,2823,RightControllerPosition,,,,,,FingerFollowData,-0.136700243,1.192376137,0.438282132,,,,
6504649488f911d6b5fc690f,9/15/2023 10:05,2907,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6911,9/15/2023 10:05,2907,RightControllerPosition,,,,,,FingerFollowData,-0.138705879,1.198731422,0.447491348,,,,
6504649488f911d6b5fc6913,9/15/2023 10:05,2990,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6915,9/15/2023 10:05,2990,RightControllerPosition,,,,,,FingerFollowData,-0.140514359,1.199878931,0.449260622,,,,
6504649488f911d6b5fc6917,9/15/2023 10:05,3073,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6919,9/15/2023 10:05,3073,RightControllerPosition,,,,,,FingerFollowData,-0.140522182,1.204272985,0.449516624,,,,
6504649488f911d6b5fc691b,9/15/2023 10:05,3157,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc691d,9/15/2023 10:05,3157,RightControllerPosition,,,,,,FingerFollowData,-0.139344022,1.20351088,0.443315178,,,,
6504649488f911d6b5fc6920,9/15/2023 10:05,3241,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6922,9/15/2023 10:05,3241,RightControllerPosition,,,,,,FingerFollowData,-0.125450462,1.188100576,0.402796715,,,,
6504649488f911d6b5fc6924,9/15/2023 10:05,3324,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6926,9/15/2023 10:05,3324,RightControllerPosition,,,,,,FingerFollowData,-0.095733941,1.137176991,0.33542335,,,,
6504649488f911d6b5fc6928,9/15/2023 10:05,3408,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc692a,9/15/2023 10:05,3408,RightControllerPosition,,,,,,FingerFollowData,-0.054088585,1.038283825,0.275707871,,,,
6504649488f911d6b5fc692c,9/15/2023 10:05,3492,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc692e,9/15/2023 10:05,3492,RightControllerPosition,,,,,,FingerFollowData,-0.030544056,0.901220143,0.241653219,,,,
6504649488f911d6b5fc6930,9/15/2023 10:05,3575,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6932,9/15/2023 10:05,3575,RightControllerPosition,,,,,,FingerFollowData,-0.020212092,0.763695121,0.222229525,,,,
6504649488f911d6b5fc6934,9/15/2023 10:05,3659,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc6936,9/15/2023 10:05,3659,RightControllerPosition,,,,,,FingerFollowData,0.002204285,0.666175485,0.219993964,,,,
6504649488f911d6b5fc6939,9/15/2023 10:05,3742,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
