_id,Value.Time,Value.Type,Value.PatientID,Value.TrialID,Value.Scenario[0],Value.Scenario[1],Value.Scenario[2],Value.Scenario[3],Value.Scenario[4],Value.Scenario[5],Value.Scenario[6],Value.Scenario[7],Value.Scenario[8],Value.Scenario[9],Value.ElapsedTime,Value.ToolEnded,Value.TargetSize,Value.TimeFixation,Value.Distance,Value.ToolData,Value.LeftEyeOpenness,Value.LeftEyePupilDiameter,Value.LeftEyePupilPositionInSensorArea_x,Value.LeftEyePupilPositionInSensorArea_y,Value.LeftEyeGazeDirectionNormalized_x,Value.LeftEyeGazeDirectionNormalized_y,Value.LeftEyeGazeDirectionNormalized_z,Value.LeftEyeGazeOrigin_x,Value.LeftEyeGazeOrigin_y,Value.LeftEyeGazeOrigin_z,Value.RightEyeOpenness,Value.RightEyePupilDiameter,Value.RightEyePupilPositionInSensorArea_x,Value.RightEyePupilPositionInSensorArea_y,Value.RightEyeGazeDirectionNormalized_x,Value.RightEyeGazeDirectionNormalized_y,Value.RightEyeGazeDirectionNormalized_z,Value.RightEyeGazeOrigin_x,Value.RightEyeGazeOrigin_y,Value.RightEyeGazeOrigin_z,Value.CombinedEyesOpenness,Value.CombinedEyesPupilDiameter,Value.CombinedEyesPupilPositionInSensorArea_x,Value.CombinedEyesPupilPositionInSensorArea_y,Value.CombinedEyesGazeDirectionNormalized_x,Value.CombinedEyesGazeDirectionNormalized_y,Value.CombinedEyesGazeDirectionNormalized_z,Value.CombinedEyesGazeOrigin_x,Value.CombinedEyesGazeOrigin_y,Value.CombinedEyesGazeOrigin_z,Value.CombinedEyesConvergenceDistance,Value.CombinedEyesConvergenceDistanceValidity
6504698e88f911d6b5fcc933,2023-09-15 10:26:22 AM,ApplicationStart,Default,bc042207-18d8-4d21-af18-228b5025b4f3,EyeTrackingFixationScene,EyeTrackingFixationScene,EyeTrackingFixationScene,EyeTrackingFixationScene,EyeTrackingFollowScene,EyeTrackingFollowScene,EyeTrackingFollowScene,EyeTrackingMultipleScene,EyeTrackingMultipleScene,EyeTrackingMultipleScene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650469a388f911d6b5fcc941,2023-09-15 10:26:43 AM,EyeTrackingFixConfig,Default,bc042207-18d8-4d21-af18-228b5025b4f3,,,,,,,,,,,0,false,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650469a388f911d6b5fcc943,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,1,,,,,EyeTrackingFixData,1,2.8260345458984375,0.5040174722671509,0.49813294410705566,-0.0340576171875,0.0048980712890625,0.9994049072265625,31.818939208984375,0.7700958251953125,-24.207107543945312,1,2.91229248046875,0.5601016283035278,0.5277328491210938,-0.011260986328125,-0.0065765380859375,0.999908447265625,-30.702255249023438,-0.0005950927734375,-24.811294555664062,0,0,0,0,-0.019287109375,-0.002532958984375,0.9998016357421875,-8.717178344726562,0.2704010009765625,-24.598831176757812,0,false
650469a388f911d6b5fcc945,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,6,,,,,EyeTrackingFixData,1,2.829071044921875,0.5039387345314026,0.49824729561805725,-0.0341033935546875,0.0100250244140625,0.999359130859375,31.8214111328125,0.74365234375,-24.207107543945312,1,2.9172210693359375,0.5598304867744446,0.5278276801109314,-0.00946044921875,-0.0023345947265625,0.99993896484375,-30.703506469726562,-0.0514984130859375,-24.706024169921875,0,0,0,0,-0.0229339599609375,0.0044097900390625,0.999725341796875,3.48516845703125,0.3832855224609375,-24.433212280273438,0,false
650469a388f911d6b5fcc947,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,11,,,,,EyeTrackingFixData,1,2.829071044921875,0.5039387345314026,0.49824729561805725,-0.0341033935546875,0.0100250244140625,0.999359130859375,31.8214111328125,0.74365234375,-24.207107543945312,1,2.9172210693359375,0.5598304867744446,0.5278276801109314,-0.00946044921875,-0.0023345947265625,0.99993896484375,-30.703506469726562,-0.0514984130859375,-24.706024169921875,0,0,0,0,-0.0229339599609375,0.0044097900390625,0.999725341796875,3.48516845703125,0.3832855224609375,-24.433212280273438,0,false
650469a388f911d6b5fcc949,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,20,,,,,EyeTrackingFixData,1,2.829071044921875,0.5039387345314026,0.49824729561805725,-0.0341033935546875,0.0100250244140625,0.999359130859375,31.8214111328125,0.74365234375,-24.207107543945312,1,2.9172210693359375,0.5598304867744446,0.5278276801109314,-0.00946044921875,-0.0023345947265625,0.99993896484375,-30.703506469726562,-0.0514984130859375,-24.706024169921875,0,0,0,0,-0.0229339599609375,0.0044097900390625,0.999725341796875,3.48516845703125,0.3832855224609375,-24.433212280273438,0,false
650469a388f911d6b5fcc94b,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,26,,,,,EyeTrackingFixData,1,2.8403167724609375,0.5038459897041321,0.49846190214157104,-0.0344696044921875,0.010101318359375,0.9993438720703125,31.825454711914062,0.739166259765625,-24.215789794921875,1,2.931304931640625,0.5597448945045471,0.5281466841697693,-0.00885009765625,-0.006195068359375,0.99993896484375,-30.704010009765625,-0.058502197265625,-24.649826049804688,0,0,0,0,-0.02783203125,0.005889892578125,0.9995880126953125,15.639450073242188,0.532684326171875,-24.328140258789062,0,false
650469a388f911d6b5fcc94d,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,30,,,,,EyeTrackingFixData,1,2.8403167724609375,0.5038459897041321,0.49846190214157104,-0.0344696044921875,0.010101318359375,0.9993438720703125,31.825454711914062,0.739166259765625,-24.215789794921875,1,2.931304931640625,0.5597448945045471,0.5281466841697693,-0.00885009765625,-0.006195068359375,0.99993896484375,-30.704010009765625,-0.058502197265625,-24.649826049804688,0,0,0,0,-0.02783203125,0.005889892578125,0.9995880126953125,15.639450073242188,0.532684326171875,-24.328140258789062,0,false
650469a388f911d6b5fcc94f,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,37,,,,,EyeTrackingFixData,1,2.8412628173828125,0.503772497177124,0.4992922842502594,-0.034454345703125,0.007171630859375,0.9993743896484375,31.827468872070312,0.726593017578125,-24.215789794921875,1,2.96466064453125,0.5595648288726807,0.5284789204597473,-0.0070953369140625,-0.0063323974609375,0.9999542236328125,-30.705703735351562,-0.0668792724609375,-24.649826049804688,0,0,0,0,-0.0269927978515625,0.0034942626953125,0.9996185302734375,14.771743774414062,0.5101776123046875,-24.334182739257812,0,false
650469a388f911d6b5fcc951,2023-09-15 10:26:43 AM,EyeData,,,,,,,,,,,,,43,,,,,EyeTrackingFixData,1,2.8412628173828125,0.503772497177124,0.4992922842502594,-0.034454345703125,0.007171630859375,0.9993743896484375,31.827468872070312,0.726593017578125,-24.215789794921875,1,2.96466064453125,0.5595648288726807,0.5284789204597473,-0.0070953369140625,-0.0063323974609375,0.9999542236328125,-30.705703735351562,-0.0668792724609375,-24.649826049804688,0,0,0,0,-0.0269927978515625,0.0034942626953125,0.9996185302734375,14.771743774414062,0.5101776123046875,-24.334182739257812,0,false
