Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
918,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
918,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.031446472,0.886012614,0.285537869,,,,
1002,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1002,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.02161226,0.921818078,0.296351582,,,,
1072,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1072,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.010595166,0.9570539,0.307179928,,,,
1156,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1156,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.000373003,0.99996388,0.318821341,,,,
1239,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1239,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.007309969,1.040146112,0.334169,,,,
1323,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1323,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.012082102,1.079495549,0.349298477,,,,
1406,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1406,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.017947681,1.112378359,0.364891708,,,,
1490,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1490,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.019161733,1.133421421,0.379193723,,,,
1573,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1573,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.020109864,1.146843672,0.394042909,,,,
1657,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1657,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.018293044,1.15754652,0.406962842,,,,
1740,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1740,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.016339544,1.165846109,0.420975506,,,,
1824,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1824,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.014833011,1.175248504,0.433810025,,,,
1907,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1907,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.014204816,1.184276462,0.44355756,,,,
1991,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
1991,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.014631696,1.188827872,0.452725023,,,,
2074,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2074,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.016067997,1.193562865,0.460252196,,,,
2158,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2158,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.018612074,1.197135806,0.467654437,,,,
2242,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2242,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.020645825,1.198781729,0.473677009,,,,
2325,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2325,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.02251222,1.19491291,0.47932741,,,,
2409,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2409,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.024490826,1.195759773,0.484619439,,,,
2464,,,9/28/2022 10:57,,,,FingerFollowData,,,,0,0,,
2492,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2492,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.023166496,1.191834927,0.488267154,,,,
2576,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2576,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.024257822,1.196091175,0.489224553,,,,
2659,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2659,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.022209711,1.19158268,0.490982324,,,,
2742,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,0,
2742,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.028134903,1.198520422,0.489150077,,,0,
2798,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.113542005,0,,
2826,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2826,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.03475244,1.192721486,0.490725368,,,,
2909,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2909,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.044729579,1.190937757,0.49082458,,,,
