Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
0,10,9/28/2022 11:10,,FALSE,fd6c8ed2-63ab-4448-9ff3-847962dbdc3c,FingerNoseConfig,,,,,
0,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
0,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052657541,0.793858945,0.120426141,,
83,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
83,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052690532,0.794487834,0.120909169,,
165,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
165,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052805047,0.793802381,0.121445015,,
249,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
249,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052321352,0.794393897,0.121008217,,
333,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
333,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052414376,0.794106483,0.121198766,,
416,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
416,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.0523296,0.793818891,0.121258751,,
500,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
500,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052349322,0.793837309,0.120877504,,
583,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
583,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.052596346,0.793718398,0.120258249,,
667,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
667,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.05346043,0.793387532,0.120307006,,
750,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
750,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.053913549,0.792827845,0.12035431,,
834,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
834,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.054216396,0.793195486,0.121954076,,
917,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
917,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.056117292,0.795812905,0.124724872,,
1001,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1001,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.05977124,0.800629973,0.129651114,,
1084,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1084,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.062281597,0.815794826,0.135202572,,
1168,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1168,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.060562301,0.841101944,0.140249059,,
1252,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1252,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.05963514,0.868963182,0.15025498,,
1335,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1335,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.057789758,0.895199597,0.164606541,,
1419,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1419,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.053153824,0.922742367,0.182977855,,
1502,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1502,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.048236933,0.951309383,0.199871019,,
1586,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1586,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.042077746,0.972064972,0.21468997,,
1669,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1669,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.035858586,0.986678839,0.225204214,,
1753,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1753,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.032397941,0.999352336,0.236743361,,
1836,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1836,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.029448768,1.008732796,0.248307675,,
1920,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
1920,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.024583139,1.012783289,0.25310263,,
2003,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2003,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.020925468,1.014516234,0.250588268,,
2087,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2087,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.017724263,1.009537816,0.2488565,,
2170,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2170,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.013670786,1.000135183,0.24829945,,
2241,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2241,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.012095723,0.997049809,0.248752281,,
2325,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2325,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.010825111,0.99943471,0.250447243,,
2408,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2408,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.007446685,1.005774975,0.250461131,,
2492,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2492,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.005505028,1.010353446,0.250475019,,
2575,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2575,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.002973675,1.013000965,0.247764051,,
2659,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2659,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.001901634,1.011808634,0.24716644,,
2742,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2742,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.001344331,1.009314179,0.24750033,,
2826,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2826,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.00101077,1.007488608,0.249818176,,
2909,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2909,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.00136378,1.008483291,0.250795305,,
2993,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
2993,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,0.000770824,1.012059689,0.252263278,,
3076,,9/28/2022 11:11,FingerNoseData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,
3076,,9/28/2022 11:11,FingerNoseData,,,RightControllerPosition,-0.000852928,1.016611695,0.255021542,,
