Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
0,2022-09-28 10:59:42 AM,false,,false,fd6c8ed2-63ab-4448-9ff3-847962dbdc3c,PegboardConfig,,,
0,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
0,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.022398879751563072,-0.38185209035873413,0.21091198921203613
83,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
83,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.02038503997027874,-0.3809926509857178,0.20714764297008514
166,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
166,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.02078842557966709,-0.38103777170181274,0.20691423118114471
249,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
249,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.021428046748042107,-0.38078710436820984,0.20660240948200226
333,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
333,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.022109147161245346,-0.37858298420906067,0.20509181916713715
416,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
416,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.02277926728129387,-0.3769764304161072,0.20470865070819855
500,2022-09-28 10:59:42 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
500,2022-09-28 10:59:42 AM,,PegboardData,,,RightControllerPosition,0.02303321845829487,-0.37550148367881775,0.20384946465492249
583,2022-09-28 10:59:43 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
583,2022-09-28 10:59:43 AM,,PegboardData,,,RightControllerPosition,0.023098712787032127,-0.37426114082336426,0.20108988881111145
