Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
0,10,2022-10-04 11:22:09 AM,,false,efbca952-47c2-4e3b-aa9b-70c11ca201ab,FingerNoseConfig,,,,,
0,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677331447601318,0.7563630938529968,-0.3179192543029785,,
0,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.2533223628997803,0.7114070057868958,0.31403648853302,,
0,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677331447601318,0.7563630938529968,-0.3179192543029785,,
0,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.2533223628997803,0.7114070057868958,0.31403648853302,,
68,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677330851554871,0.7563630938529968,-0.3179193437099457,,
68,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.25339505076408386,0.7092191576957703,0.30852729082107544,,
82,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677330851554871,0.7563632726669312,-0.31791922450065613,,
82,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.25325971841812134,0.7082727551460266,0.3080604672431946,,
83,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677330255508423,0.7563631534576416,-0.31791943311691284,,
83,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.25325971841812134,0.7082727551460266,0.3080604672431946,,
151,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677329659461975,0.7563635110855103,-0.31791946291923523,,
151,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.25129199028015137,0.7001868486404419,0.3079743981361389,,
165,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677330255508423,0.7563634514808655,-0.31791943311691284,,
165,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.2504069209098816,0.6979092359542847,0.3082582652568817,,
166,,2022-10-04 11:22:09 AM,FingerNoseData,,,LeftControllerPosition,-0.9677330255508423,0.7563634514808655,-0.31791943311691284,,
166,,2022-10-04 11:22:09 AM,FingerNoseData,,,RightControllerPosition,-0.2504069209098816,0.6979092359542847,0.3082582652568817,,
