Value.CurrentRepetition,Value.Delay,Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,,0,10,2022-09-28 12:20:21 PM,,false,d39818f3-fae5-4345-b128-d72d47e8efe0,FingerNoseConfig,,,
,,0,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.1109611988067627
,,0,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.01797899790108204,0.6880707740783691,0.22755444049835205
,,83,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,83,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.01790120266377926,0.6880696415901184,0.22750137746334076
,,166,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,166,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.017817365005612373,0.6882535219192505,0.22730661928653717
,,249,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.11096120625734329
,,249,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.017788682132959366,0.6894303560256958,0.22650350630283356
,,333,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096123605966568
,,333,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.015762677416205406,0.6931228041648865,0.225387841463089
,,416,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096125096082687
,,416,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.01518701296299696,0.6987907290458679,0.22317031025886536
,,500,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,500,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.015021253377199173,0.7062838673591614,0.21889819204807281
,,583,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794278860092163,0.11096110939979553
,,583,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.010572054423391819,0.7229663729667664,0.213603675365448
,,667,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096123605966568
,,667,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,-0.00041307933861389756,0.745587944984436,0.2106550633907318
,,750,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,750,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,0.008921738713979721,0.7742049694061279,0.20385654270648956
,,833,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,833,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,0.015128394588828087,0.8058462738990784,0.19974006712436676
,,917,,2022-09-28 12:20:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122860908508
,,917,,2022-09-28 12:20:21 PM,FingerNoseData,,,RightControllerPosition,0.017251286655664444,0.8402743935585022,0.20161259174346924
,,1001,,2022-09-28 12:20:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.1109611764550209
,,1001,,2022-09-28 12:20:22 PM,FingerNoseData,,,RightControllerPosition,0.02070142701268196,0.8803128004074097,0.21310637891292572
,,1084,,2022-09-28 12:20:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611764550209
,,1084,,2022-09-28 12:20:22 PM,FingerNoseData,,,RightControllerPosition,0.01537383534014225,0.926669716835022,0.22359926998615265
,,1168,,2022-09-28 12:20:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280648231506,0.1109611764550209
,,1168,,2022-09-28 12:20:22 PM,FingerNoseData,,,RightControllerPosition,0.002120798686519265,0.9812118411064148,0.23815284669399261
,,1251,,2022-09-28 12:20:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,1251,,2022-09-28 12:20:22 PM,FingerNoseData,,,RightControllerPosition,-0.023360369727015495,1.0262370109558105,0.2659893035888672
,,1335,,2022-09-28 12:20:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,1335,,2022-09-28 12:20:22 PM,FingerNoseData,,,RightControllerPosition,-0.05577752739191055,1.064276933670044,0.3027123212814331
,,1405,,2022-09-28 12:20:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611764550209
