Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
0,Normal,10,9/28/2022 12:07,,FALSE,d39818f3-fae5-4345-b128-d72d47e8efe0,FingerFollowConfig,,,,,,,
2,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998209,0.105427004,,,0,
2,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.078762814,0.79203701,0.266983271,,,0,
86,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426982,,,1,0
86,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.078836128,0.791542649,0.266965359,,,1,0
161,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167788,0.779981971,0.105426863,,,2,1
161,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.078968547,0.791068375,0.266959041,,,2,1
246,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167788,0.779981971,0.105426908,,,3,2
246,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.078715988,0.791409671,0.267457485,,,3,2
329,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426922,,,4,3
329,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.078739397,0.791755617,0.267674029,,,4,3
413,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998209,0.105426982,,,5,4
413,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.077881321,0.792123735,0.267908931,,,5,4
497,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998209,0.105426982,,,6,5
497,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.073529877,0.79411155,0.26698491,,,6,5
580,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105427012,,,7,6
580,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.068128407,0.798491955,0.263873339,,,7,6
664,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.10542696,,,8,7
664,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.062229257,0.803359985,0.259631723,,,8,7
748,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426982,,,9,8
748,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.0541711,0.809411645,0.255752593,,,9,8
831,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.10542696,,,10,9
831,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.041044209,0.823347151,0.2508834,,,10,9
915,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426967,,,,
915,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.025014885,0.845467865,0.247406796,,,,
999,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998215,0.105426937,,,,
999,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,-0.009721462,0.871111751,0.244827315,,,,
1082,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426967,,,,
1082,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,0.005143723,0.899842739,0.241009161,,,,
1152,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426982,,,,
1152,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,0.018342009,0.927256823,0.234639391,,,,
1236,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.10542696,,,,
1236,,,9/28/2022 12:07,FingerFollowData,,,RightControllerPosition,0.034399945,0.960173905,0.228916585,,,,
1320,,,9/28/2022 12:07,FingerFollowData,,,LeftControllerPosition,-0.824167728,0.77998203,0.105426982,,,,
