Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
0,2022-09-28 12:10:26 PM,false,,false,d39818f3-fae5-4345-b128-d72d47e8efe0,PegboardConfig,,,
0,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.36197665333747864,0.10712619870901108
0,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.06532704085111618,-0.4023085832595825,0.27005136013031006
70,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.3619767427444458,0.10712609440088272
70,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.06457627564668655,-0.40005844831466675,0.2693916857242584
152,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767427444458,0.1071259006857872
152,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.06317761540412903,-0.3964093327522278,0.2679617404937744
236,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197665333747864,0.10712602734565735
236,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.06245996057987213,-0.39409565925598145,0.2682584524154663
319,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767725467682,0.1071259155869484
319,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.0633276179432869,-0.3923259973526001,0.2673461437225342
402,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767427444458,0.1071259006857872
402,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.06248948723077774,-0.3889179825782776,0.2662692070007324
486,2022-09-28 12:10:26 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197683215141296,0.10712596774101257
486,2022-09-28 12:10:26 PM,,PegboardData,,,RightControllerPosition,-0.060231707990169525,-0.38614892959594727,0.2661495804786682
570,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.361976683139801,0.10712604969739914
570,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.05517344921827316,-0.38283053040504456,0.2666253447532654
653,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.36197662353515625,0.1071261614561081
653,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.047845929861068726,-0.3727402985095978,0.26428064703941345
737,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.3619767725467682,0.1071261316537857
737,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.03937201201915741,-0.3593780994415283,0.26079508662223816
820,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.36197710037231445,0.1071259155869484
820,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.031355202198028564,-0.3416481018066406,0.2527203857898712
904,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767427444458,0.1071259006857872
904,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.023302963003516197,-0.32880979776382446,0.2460731565952301
987,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619765341281891,0.1071259155869484
987,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.016703620553016663,-0.3227296769618988,0.2398475855588913
1071,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619765341281891,0.1071259155869484
1071,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.013166946358978748,-0.3200892210006714,0.23500196635723114
1154,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767427444458,0.1071259006857872
1154,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.009209535084664822,-0.31582000851631165,0.2351633608341217
1238,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.361976683139801,0.10712604969739914
1238,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.006772314198315144,-0.304953932762146,0.23866842687129974
1321,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.36197683215141296,0.10712617635726929
1321,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.005209673661738634,-0.28971028327941895,0.24424581229686737
1405,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767427444458,0.1071259006857872
1405,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.006233069114387035,-0.283821702003479,0.2502385973930359
1489,2022-09-28 12:10:27 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.361976683139801,0.10712604224681854
1489,2022-09-28 12:10:27 PM,,PegboardData,,,RightControllerPosition,-0.013882252387702465,-0.29141077399253845,0.2474280297756195
1572,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.36197662353515625,0.1071261614561081
1572,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.0223405621945858,-0.30865198373794556,0.2418559044599533
1656,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619768023490906,0.10712595283985138
1656,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.0244014710187912,-0.32232967019081116,0.24358069896697998
1739,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619769811630249,0.10712582617998123
1739,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.026281526312232018,-0.3307768404483795,0.2455502450466156
1823,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619769513607025,0.10712581127882004
1823,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.0275938268750906,-0.3342357575893402,0.24680204689502716
1892,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.3619767129421234,0.10712608695030212
1892,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.0278177373111248,-0.3337288498878479,0.24747934937477112
1976,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.3619765639305115,0.10712623596191406
1976,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.028377845883369446,-0.3355199098587036,0.24913819134235382
2060,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197683215141296,0.10712596774101257
2060,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.02855251170694828,-0.33764538168907166,0.24945497512817383
2143,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197662353515625,0.10712599009275436
2143,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.028728654608130455,-0.339443564414978,0.24881458282470703
2227,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619768023490906,0.10712595283985138
2227,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.027598965913057327,-0.3364177942276001,0.2483484297990799
2310,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197686195373535,0.10712601244449615
2310,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.027757273986935616,-0.3342137038707733,0.2461320161819458
2394,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.36197683215141296,0.10712617635726929
2394,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.02672901563346386,-0.33333927392959595,0.24605602025985718
2477,2022-09-28 12:10:28 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.36197710037231445,0.1071259155869484
2477,2022-09-28 12:10:28 PM,,PegboardData,,,RightControllerPosition,-0.025987645611166954,-0.3317323923110962,0.247080996632576
2561,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767725467682,0.1071259155869484
2561,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,-0.026154935359954834,-0.32920023798942566,0.24834464490413666
2644,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.3619767427444458,0.10712609440088272
2644,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,-0.027863891795277596,-0.32827410101890564,0.2487448900938034
2728,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.843834638595581,-0.3619769811630249,0.10712553560733795
2728,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,-0.028839997947216034,-0.32846781611442566,0.24816638231277466
2811,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197662353515625,0.10712599009275436
2811,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,-0.0216061994433403,-0.32309699058532715,0.2535507380962372
2895,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619767427444458,0.1071259006857872
2895,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,-0.006859574932605028,-0.3068540692329407,0.2664690613746643
2978,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197683215141296,0.10712596774101257
2978,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.005878898780792952,-0.288644015789032,0.2816178798675537
3062,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.3619768023490906,0.1071261465549469
3062,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.013311082497239113,-0.2752479910850525,0.286752313375473
3145,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197662353515625,0.10712599009275436
3145,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.01763160713016987,-0.273458331823349,0.2880096435546875
3229,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619769513607025,0.10712581127882004
3229,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.022863462567329407,-0.2654942572116852,0.29611119627952576
3313,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197686195373535,0.10712597519159317
3313,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.027759304270148277,-0.2543940246105194,0.30520346760749817
3396,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.8438344597816467,-0.36197686195373535,0.10712601244449615
3396,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.02863576076924801,-0.2506711483001709,0.3036312162876129
3480,2022-09-28 12:10:29 PM,,PegboardData,,,LeftControllerPosition,-0.843834400177002,-0.36197707056999207,0.10712610930204391
3480,2022-09-28 12:10:29 PM,,PegboardData,,,RightControllerPosition,0.03105791285634041,-0.2548660635948181,0.30322086811065674
3563,2022-09-28 12:10:30 PM,,PegboardData,,,LeftControllerPosition,-0.8438345193862915,-0.3619769513607025,0.10712581127882004
