Value.ElapsedTime,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-11 11:26:05 AM,,,64fd3bd2-250c-499a-95f8-bc9d28304b8f,ApplicationStart,,,,,
0,10,,2022-10-11 11:37:37 AM,,false,64fd3bd2-250c-499a-95f8-bc9d28304b8f,FingerNoseConfig,,,,,
1,,,2022-10-11 11:37:37 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
1,,,2022-10-11 11:37:37 AM,FingerNoseData,,,RightControllerPosition,-0.038916364312171936,0.5855200886726379,0.29302987456321716,,
82,,,2022-10-11 11:37:37 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
82,,,2022-10-11 11:37:37 AM,FingerNoseData,,,RightControllerPosition,-0.039095934480428696,0.5855146646499634,0.292939692735672,,
166,,,2022-10-11 11:37:37 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
166,,,2022-10-11 11:37:37 AM,FingerNoseData,,,RightControllerPosition,-0.039166033267974854,0.5852845907211304,0.29301944375038147,,
249,,,2022-10-11 11:37:37 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
249,,,2022-10-11 11:37:37 AM,FingerNoseData,,,RightControllerPosition,-0.03921528533101082,0.5851187705993652,0.29307812452316284,,
333,,,2022-10-11 11:37:37 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
333,,,2022-10-11 11:37:37 AM,FingerNoseData,,,RightControllerPosition,-0.03927676007151604,0.5849952101707458,0.29310187697410583,,
416,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
416,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.03931508958339691,0.5848345756530762,0.2931705415248871,,
500,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
500,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.03927642107009888,0.584781289100647,0.2932082414627075,,
583,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
583,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.039281636476516724,0.5848392844200134,0.29329997301101685,,
667,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
667,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.039352018386125565,0.5853559970855713,0.29319238662719727,,
750,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
750,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.039873156696558,0.5876448750495911,0.29260537028312683,,
834,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
834,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.040973588824272156,0.5906258225440979,0.29149991273880005,,
918,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
918,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.04208769649267197,0.5932787656784058,0.29008322954177856,,
1001,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
1001,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.042350370436906815,0.5965003371238708,0.2899138629436493,,
1085,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
1085,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.04159897565841675,0.6021164059638977,0.29107388854026794,,
1168,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
1168,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.040376629680395126,0.6090757250785828,0.2930334210395813,,
1252,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
1252,,,2022-10-11 11:37:38 AM,FingerNoseData,,,RightControllerPosition,-0.03875524550676346,0.6153317093849182,0.2948830723762512,,
1335,,,2022-10-11 11:37:38 AM,FingerNoseData,,,LeftControllerPosition,-1.4053819179534912,0.7537956833839417,-0.5415107011795044,,
